LOC_BLANK,BRANCH_COUNT,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,ESSENTIAL_COMPLEXITY,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,LOC_TOTAL,Defective
5,19,0,11,10,4,3,29,22.98,23.5,12690.0,0.18,108,0.04,705.0,540.0,47,61,16,16,50,0
7,5,0,0,3,3,3,21,24.16,9.09,1996.51,0.07,50,0.11,110.92,219.62,20,30,11,10,30,0
4,5,0,2,3,3,1,19,48.25,6.18,1840.73,0.1,65,0.16,102.26,298.02,30,35,17,7,27,0
12,9,2,1,5,5,5,16,33.33,15.11,7610.84,0.17,99,0.07,422.82,503.66,34,65,18,16,34,0
10,17,0,6,9,6,4,33,18.04,42.17,32079.24,0.25,142,0.02,1782.18,760.77,66,76,18,23,51,0
1,1,0,1,1,1,1,4,30.0,3.6,388.8,0.04,27,0.28,21.6,108.0,12,15,10,6,9,0
2,3,0,0,2,2,1,7,15.09,7.31,807.02,0.04,27,0.14,44.83,110.36,13,14,8,9,11,0
5,9,0,0,5,4,1,28,24.79,16.63,6852.47,0.14,84,0.06,380.69,412.18,38,46,16,14,35,0
7,15,0,0,8,7,1,54,31.79,30.4,29383.61,0.32,176,0.03,1632.42,966.57,76,100,25,20,63,0
4,13,0,9,7,2,3,12,17.79,14.62,3800.0,0.09,52,0.07,211.11,260.0,20,32,13,19,27,0
3,3,1,1,2,2,1,7,11.99,6.67,533.03,0.03,21,0.15,29.61,79.95,10,11,6,8,14,1
4,9,1,0,5,4,1,13,17.28,16.0,4423.76,0.09,62,0.06,245.76,276.48,32,30,11,11,22,1
5,9,0,3,5,3,1,22,24.18,16.39,6497.07,0.13,80,0.06,360.95,396.34,27,53,14,17,30,0
9,21,0,8,11,8,6,49,71.72,15.81,17934.97,0.38,192,0.06,996.39,1134.12,80,112,43,17,69,0
7,5,0,0,3,2,3,23,60.63,15.63,14801.48,0.32,167,0.06,822.3,947.3,75,92,36,15,32,0
14,7,0,1,4,4,1,28,33.26,11.92,4723.0,0.13,80,0.08,262.39,396.34,33,47,18,13,46,1
2,1,0,1,1,1,1,5,28.44,4.5,576.0,0.04,32,0.22,32.0,128.0,15,17,10,6,10,1
5,5,0,6,3,3,1,27,45.88,11.75,6334.55,0.18,102,0.09,351.92,539.11,47,55,26,13,38,1
3,1,1,0,1,1,1,12,33.37,11.65,4526.5,0.13,80,0.09,251.47,388.64,33,47,17,12,19,1
2,15,0,0,14,14,1,79,43.92,50.45,111794.23,0.74,364,0.02,6210.79,2215.84,163,201,42,26,88,1
2,1,0,0,1,1,1,63,567.46,5.06,14514.63,0.96,441,0.2,806.37,2869.94,220,221,87,4,67,0
7,21,0,0,11,5,10,35,40.78,24.24,23963.53,0.33,177,0.04,1331.31,988.54,74,103,29,19,44,0
2,3,0,0,2,2,1,7,16.0,5.5,484.0,0.03,22,0.18,26.89,88.0,5,17,5,11,12,0
2,5,0,0,3,3,1,34,25.78,34.88,31351.77,0.3,187,0.03,1741.76,898.98,93,94,16,12,38,0
1,3,0,0,2,1,1,14,10.13,28.0,7942.85,0.09,82,0.04,441.27,283.67,32,50,4,7,17,0
3,11,0,0,6,2,3,17,16.66,25.36,10719.8,0.14,87,0.04,595.54,422.64,31,56,11,18,22,1
2,1,0,0,1,1,1,12,25.11,19.0,9066.02,0.16,107,0.05,503.67,477.16,38,69,11,11,17,0
5,11,0,1,6,4,4,41,27.3,29.17,23231.73,0.27,145,0.03,1290.65,796.32,61,84,23,22,49,0
8,27,11,6,14,10,10,83,71.77,27.29,53438.87,0.65,324,0.04,2968.83,1958.38,135,189,47,19,110,0
1,7,0,0,4,3,4,10,12.83,9.43,1140.18,0.04,29,0.11,63.34,120.93,12,17,7,11,13,1
0,1,0,0,1,1,1,2,12.68,2.5,79.25,0.01,10,0.4,4.4,31.7,4,6,4,5,4,0
4,11,0,0,6,4,6,19,19.85,21.88,9499.74,0.14,84,0.05,527.76,434.27,35,49,16,20,25,0
2,5,0,0,3,2,3,21,43.78,11.73,6027.31,0.17,93,0.09,334.85,513.69,44,49,30,16,23,0
1,7,0,0,4,3,1,9,15.74,10.2,1637.5,0.05,36,0.1,90.97,160.54,17,19,10,12,12,0
8,1,0,1,1,1,1,26,112.94,8.26,7712.83,0.31,172,0.12,428.49,933.32,85,87,36,7,35,0
0,1,0,0,1,1,1,3,18.38,5.83,625.58,0.04,31,0.17,34.75,107.24,14,17,6,5,5,0
1,1,0,0,1,1,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,1,0,1,4,0
1,7,0,3,4,2,3,9,15.14,8.13,999.25,0.04,28,0.12,55.51,122.98,10,18,8,13,15,0
0,1,0,0,1,1,1,3,9.51,4.0,152.16,0.01,12,0.25,8.45,38.04,4,8,3,6,5,0
3,11,0,0,6,3,3,22,18.13,20.77,7820.01,0.13,76,0.05,434.44,376.52,30,46,13,18,28,1
3,19,0,2,10,5,10,18,19.23,27.04,14060.0,0.17,104,0.04,781.11,520.0,37,67,13,19,26,0
54,83,3,26,42,27,35,243,156.31,44.02,302830.24,2.29,948,0.02,16823.9,6880.0,393,555,125,28,328,0
1,9,0,0,5,5,1,22,39.43,12.05,5722.62,0.16,95,0.08,317.92,475.0,46,49,21,11,25,0
14,9,0,0,5,4,1,55,77.97,21.55,36210.9,0.56,279,0.05,2011.72,1680.24,132,147,49,16,71,1
4,5,0,0,3,2,3,12,10.66,11.0,1289.27,0.04,30,0.09,71.63,117.21,11,19,5,10,18,0
12,22,0,1,13,9,9,88,39.57,56.88,127998.63,0.75,381,0.02,7111.03,2250.53,130,251,32,28,104,1
1,7,0,0,4,1,4,6,12.33,9.29,1062.74,0.04,28,0.11,59.04,114.45,13,15,7,10,9,0
3,1,0,0,1,1,1,4,12.8,4.2,225.85,0.02,15,0.24,12.55,53.77,6,9,5,7,9,0
0,1,0,0,1,1,1,2,13.5,2.0,54.0,0.01,9,0.5,3.0,27.0,4,5,4,4,4,0
0,7,0,0,4,3,3,6,20.23,8.25,1376.99,0.06,38,0.12,76.5,166.91,15,23,10,11,8,0
9,3,6,1,2,2,1,25,75.51,9.73,7142.89,0.24,138,0.1,396.83,734.43,67,71,31,9,43,1
2,19,0,1,10,1,10,16,19.53,27.82,15111.7,0.18,113,0.04,839.54,543.23,36,77,11,17,23,0
4,7,0,17,4,4,1,34,56.53,14.69,12198.59,0.28,155,0.07,677.7,830.42,71,84,29,12,57,0
7,1,0,0,1,1,1,15,11.04,25.38,7110.43,0.09,81,0.04,395.02,280.21,29,52,4,7,26,0
1,5,0,0,3,3,1,16,29.25,6.25,1142.73,0.06,41,0.16,63.48,182.84,15,26,12,10,19,0
2,21,0,0,11,2,10,18,43.08,10.5,4749.82,0.15,85,0.1,263.88,452.36,39,46,26,14,22,0
2,7,0,4,4,2,3,13,21.02,7.0,1030.13,0.05,33,0.14,57.23,147.16,14,19,11,11,19,0
6,21,0,5,11,8,6,82,48.69,51.0,126648.13,0.83,440,0.02,7036.01,2483.3,153,287,30,20,96,1
1,7,0,0,4,3,4,5,17.98,5.79,601.71,0.03,26,0.17,33.43,104.0,9,17,7,9,8,0
0,1,0,0,1,1,1,2,11.86,3.5,145.3,0.01,12,0.29,8.07,41.51,4,8,4,7,4,0
1,5,0,0,3,1,3,9,12.23,15.0,2750.98,0.06,40,0.07,152.83,183.4,15,25,8,16,12,1
4,3,0,2,2,2,1,14,39.14,7.97,2489.11,0.1,63,0.13,138.28,312.11,29,34,20,11,22,0
5,5,0,1,3,1,1,14,19.95,12.41,3072.34,0.08,54,0.08,170.69,247.59,21,33,11,13,22,0
1,9,0,0,5,1,1,24,30.49,11.57,4082.84,0.12,78,0.09,226.82,352.84,36,42,14,9,27,0
2,3,0,1,2,2,1,7,26.86,3.5,329.04,0.03,23,0.29,18.28,94.01,10,13,10,7,12,1
2,7,0,1,4,2,3,10,16.47,8.67,1236.75,0.05,32,0.12,68.71,142.7,12,20,9,13,15,0
6,1,0,1,1,1,1,12,36.59,7.14,1866.73,0.09,57,0.14,103.71,261.33,20,37,14,10,21,0
12,5,0,0,3,3,1,55,88.89,19.93,35325.77,0.59,300,0.05,1962.54,1772.07,131,169,46,14,69,0
6,7,0,0,4,4,1,20,20.01,27.95,15636.44,0.19,119,0.04,868.69,559.35,41,78,11,15,28,1
1,51,0,5,26,11,26,32,14.63,133.33,260000.0,0.65,390,0.01,14444.44,1950.0,160,230,12,20,38,0
2,3,0,0,2,2,1,15,30.37,6.11,1132.67,0.06,41,0.16,62.93,185.47,19,22,14,9,17,0
1,9,0,0,5,4,1,22,26.5,15.42,6299.19,0.14,81,0.06,349.95,408.6,37,44,18,15,25,0
6,5,0,8,3,3,1,25,36.64,19.72,14249.09,0.24,134,0.05,791.62,722.57,58,76,25,17,39,1
11,7,0,15,4,2,1,41,45.27,11.05,5530.43,0.17,103,0.09,307.25,500.37,42,61,19,10,69,1
1,9,0,0,5,2,4,18,14.73,23.32,8009.38,0.11,70,0.04,444.97,343.48,27,43,11,19,21,0
0,5,0,0,4,4,1,16,25.85,9.75,2457.09,0.08,53,0.1,136.5,252.01,21,32,14,13,19,0
2,5,0,2,3,3,1,10,14.3,8.75,1094.61,0.04,30,0.11,60.81,125.1,14,16,8,10,16,0
4,9,0,7,5,3,1,21,25.86,20.7,11080.47,0.18,102,0.05,615.58,535.29,46,56,20,18,32,0
5,17,0,4,9,5,9,36,37.8,28.97,31713.43,0.36,195,0.03,1761.86,1094.87,84,111,29,20,45,1
1,3,0,0,2,1,1,6,23.19,6.82,1078.11,0.05,36,0.15,59.9,158.12,15,21,11,10,10,0
10,19,1,2,10,2,1,48,66.46,21.56,30900.87,0.48,258,0.05,1716.72,1433.08,92,166,32,15,66,0
1,5,0,0,3,1,3,5,10.16,6.0,365.67,0.02,17,0.17,20.31,60.94,6,11,4,8,8,0
1,1,0,0,1,1,1,2,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,2,3,2,3,5,1
2,1,0,0,1,1,1,7,33.65,4.31,624.38,0.05,33,0.23,34.69,144.95,14,19,13,8,11,0
1,7,0,0,4,2,1,13,19.24,13.64,3577.73,0.09,58,0.07,198.76,262.37,25,33,11,12,14,0
0,3,0,0,2,1,1,5,7.8,5.0,195.0,0.01,13,0.2,10.83,39.0,6,7,3,5,7,0
7,13,0,10,7,4,6,32,45.45,17.42,13788.32,0.26,141,0.06,766.02,791.67,55,86,30,19,51,1
3,3,0,11,2,2,1,11,19.08,6.5,806.0,0.04,31,0.15,44.78,124.0,13,18,8,8,27,0
4,35,0,0,18,5,12,39,26.88,26.55,18949.22,0.24,136,0.04,1052.73,713.72,59,77,20,18,45,0
6,4,0,1,3,2,1,47,40.37,22.73,20861.67,0.31,146,0.04,1158.98,917.67,62,84,45,33,56,0
5,7,0,9,4,3,1,31,28.78,21.86,13747.33,0.21,119,0.05,763.74,628.96,51,68,21,18,45,0
5,3,0,4,2,1,1,19,40.02,10.42,4346.47,0.14,85,0.1,241.47,417.09,36,49,19,11,31,1
32,57,0,43,29,17,22,158,277.1,27.34,207113.99,2.53,1084,0.04,11506.33,7575.73,524,560,115,12,235,1
0,1,0,1,1,1,1,2,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,2,4,2,4,7,1
3,7,0,0,4,3,1,37,40.99,24.29,24191.92,0.33,201,0.04,1344.0,995.79,59,142,17,14,42,0
1,3,0,0,2,1,1,9,20.31,7.88,1259.28,0.05,42,0.13,69.96,159.91,21,21,8,6,12,0
5,7,0,1,4,4,1,43,54.31,21.95,26167.57,0.4,201,0.05,1453.75,1192.08,90,111,41,20,49,1
5,11,0,0,6,5,1,26,18.38,25.8,12233.66,0.16,94,0.04,679.65,474.17,43,51,15,18,33,0
0,6,0,0,5,2,1,21,40.09,6.91,1912.37,0.09,57,0.14,106.24,276.9,17,40,16,13,23,1
8,3,0,0,2,2,1,12,22.73,12.46,3530.05,0.09,61,0.08,196.11,283.28,27,34,13,12,22,0
4,17,0,0,9,1,8,32,19.4,25.97,13078.34,0.17,99,0.04,726.57,503.66,41,58,15,19,38,0
8,25,0,25,13,3,7,52,23.26,42.71,42441.62,0.33,182,0.02,2357.87,993.62,78,104,21,23,87,0
6,21,0,2,11,7,1,30,20.77,39.38,32204.19,0.27,157,0.03,1789.12,817.88,60,97,16,21,40,0
2,1,0,0,1,1,1,5,12.8,4.2,225.85,0.02,15,0.24,12.55,53.77,6,9,5,7,9,0
7,5,0,2,3,3,1,28,47.22,14.54,9981.07,0.23,129,0.07,554.5,686.53,54,75,26,14,39,0
0,3,0,0,2,2,1,7,13.88,4.8,319.72,0.02,18,0.21,17.76,66.61,6,12,5,8,9,0
4,5,0,5,3,2,1,29,23.91,39.81,37898.98,0.32,194,0.03,2105.5,951.94,91,103,16,14,38,0
2,5,0,3,3,2,1,10,15.21,5.79,509.14,0.03,22,0.17,28.29,88.0,9,13,7,9,17,0
1,3,0,0,2,2,1,12,37.72,5.29,1057.26,0.07,42,0.19,58.74,199.71,18,24,17,10,16,0
1,5,0,0,3,2,1,8,15.45,7.14,788.3,0.04,27,0.14,43.79,110.36,10,17,7,10,11,0
23,29,0,10,15,8,1,79,48.84,42.69,88998.14,0.69,364,0.02,4944.34,2084.96,166,198,35,18,114,0
0,3,0,1,2,2,1,5,12.18,3.0,109.62,0.01,11,0.33,6.09,36.54,4,7,4,6,8,0
2,7,0,0,4,1,4,10,9.95,14.08,1974.22,0.05,33,0.07,109.68,140.18,13,20,6,13,14,0
8,9,0,0,5,4,4,24,24.82,26.82,17860.72,0.22,132,0.04,992.26,665.86,57,75,17,16,34,0
2,5,0,0,3,1,3,9,10.9,16.5,2967.5,0.06,44,0.06,164.86,179.85,18,26,6,11,13,0
0,11,0,0,10,10,1,34,55.85,16.47,15152.09,0.31,163,0.06,841.78,919.95,70,93,34,16,36,0
1,5,0,0,3,3,1,16,16.14,7.5,908.35,0.04,31,0.13,50.46,121.11,10,21,6,9,19,0
2,5,0,0,3,2,3,7,13.22,7.71,786.47,0.03,24,0.13,43.69,101.95,9,15,7,12,11,0
1,9,0,0,5,5,5,7,15.83,14.77,3454.35,0.08,51,0.07,191.91,233.83,25,26,11,13,10,0
6,5,0,3,3,2,1,21,18.44,18.31,6180.62,0.11,71,0.05,343.37,337.6,34,37,13,14,32,0
2,3,0,0,2,1,1,7,12.16,5.6,381.44,0.02,19,0.18,21.19,68.11,8,11,5,7,13,0
1,5,0,0,3,2,1,19,16.99,12.6,2697.06,0.07,48,0.08,149.84,214.05,21,27,10,12,22,0
4,4,0,0,3,2,1,32,41.03,11.77,5683.8,0.16,89,0.08,315.77,482.94,36,53,26,17,40,1
2,3,0,0,2,2,1,7,11.95,6.0,430.2,0.02,20,0.17,23.9,71.7,6,14,4,8,11,0
0,1,0,0,1,1,1,3,6.74,5.0,168.44,0.01,12,0.2,9.36,33.69,4,8,2,5,5,0
3,1,0,0,1,1,1,13,61.64,4.57,1288.06,0.09,58,0.22,71.56,281.76,24,34,21,8,18,0
3,1,0,8,1,1,1,11,33.72,4.36,642.1,0.05,36,0.23,35.67,147.15,16,20,11,6,24,0
1,3,0,0,2,2,1,7,13.19,8.0,843.89,0.04,27,0.13,46.88,105.49,14,13,7,8,10,0
0,7,0,0,4,3,4,10,19.36,5.79,648.0,0.04,28,0.17,36.0,112.0,9,19,7,9,12,0
1,1,0,0,1,1,1,4,6.89,6.0,248.16,0.01,16,0.17,13.79,41.36,6,10,2,4,7,0
1,11,0,3,6,5,6,28,32.68,16.77,9194.11,0.18,103,0.06,510.78,548.16,41,62,22,18,34,0
0,3,0,0,2,2,1,5,11.07,4.38,211.89,0.02,14,0.23,11.77,48.43,5,9,4,7,7,1
8,7,0,0,4,2,3,33,48.0,16.07,12400.95,0.26,144,0.06,688.94,771.49,62,82,27,14,43,0
0,1,0,0,1,1,1,2,12.18,3.0,109.62,0.01,11,0.33,6.09,36.54,4,7,4,6,4,0
4,1,0,11,1,1,1,32,43.69,16.18,11431.61,0.24,147,0.06,635.09,706.68,50,97,17,11,52,0
3,3,0,0,2,1,1,12,19.05,12.35,2905.03,0.08,52,0.08,161.39,235.23,19,33,10,13,17,0
16,37,1,7,19,11,10,118,93.0,34.67,111762.93,1.07,516,0.03,6209.05,3223.93,208,308,57,19,148,1
0,8,0,0,7,7,1,23,30.75,11.38,3978.69,0.12,72,0.09,221.04,349.77,28,44,16,13,25,0
20,3,0,20,2,1,1,49,77.31,20.23,31645.36,0.52,267,0.05,1758.08,1564.08,116,151,43,15,91,0
18,49,2,31,25,13,15,109,53.12,47.54,120068.6,0.84,408,0.02,6670.48,2525.45,162,246,46,27,162,1
3,15,0,3,8,5,8,21,16.8,21.82,7998.78,0.12,74,0.05,444.38,366.61,24,50,11,20,29,0
1,1,0,4,1,1,1,2,10.57,3.0,95.1,0.01,10,0.33,5.28,31.7,3,7,3,6,9,0
7,33,0,10,17,5,3,43,34.74,64.58,144913.79,0.75,411,0.02,8050.77,2243.83,155,256,24,20,63,0
3,5,0,0,3,1,1,21,23.69,12.0,3411.21,0.09,62,0.08,189.51,284.27,24,38,12,12,27,0
16,21,0,59,12,11,5,106,58.35,39.39,90545.49,0.77,375,0.03,5030.3,2298.48,161,214,47,23,185,0
14,7,0,0,4,4,1,50,41.72,28.31,33429.05,0.39,219,0.04,1857.17,1180.92,92,127,26,16,64,0
5,15,0,7,9,2,9,44,36.31,20.9,15860.19,0.25,139,0.05,881.12,758.86,55,84,25,19,58,1
2,9,0,0,5,3,1,19,15.36,17.42,4659.42,0.09,54,0.06,258.86,267.53,22,32,12,19,23,1
4,7,0,5,4,3,1,16,29.2,6.68,1302.6,0.07,42,0.15,72.37,195.04,17,25,14,11,27,1
0,1,0,0,1,1,1,2,16.65,4.0,266.43,0.02,18,0.25,14.8,66.61,5,13,5,8,4,0
1,1,0,0,1,1,1,8,27.35,4.0,437.57,0.04,28,0.25,24.31,109.39,12,16,9,6,11,0
9,15,1,6,8,6,4,37,53.73,9.9,5262.73,0.18,98,0.1,292.37,531.77,41,57,29,14,55,0
17,17,0,13,9,9,1,94,52.47,39.96,83764.27,0.7,366,0.03,4653.57,2096.42,143,223,34,19,126,1
7,3,0,0,2,2,1,25,98.81,8.46,7067.17,0.28,154,0.12,392.62,835.64,74,80,35,8,34,0
5,5,0,3,3,2,1,26,36.31,20.52,15293.66,0.25,141,0.05,849.65,745.24,59,82,23,16,36,0
4,15,6,1,8,6,1,28,24.41,39.24,37586.82,0.32,180,0.03,2088.15,957.95,71,109,19,21,41,0
2,1,0,0,1,1,1,9,32.87,8.44,2339.94,0.09,59,0.12,130.0,277.33,27,32,16,10,14,0
2,1,0,0,1,1,1,7,34.27,2.78,264.4,0.03,25,0.36,14.69,95.18,10,15,9,5,11,0
2,5,0,0,3,3,1,20,38.17,9.3,3301.5,0.12,71,0.11,183.42,355.0,31,40,20,12,25,0
0,38,0,2,37,37,1,115,88.86,48.85,212008.39,1.45,595,0.02,11778.24,4340.3,259,336,114,43,119,0
3,9,0,0,5,2,1,15,21.62,15.0,4864.96,0.11,69,0.07,270.28,324.33,30,39,13,13,20,0
5,3,0,0,2,1,1,18,18.09,27.43,13609.37,0.17,127,0.04,756.08,496.18,48,79,7,8,26,1
0,5,0,0,3,1,1,13,24.91,2.92,211.89,0.02,21,0.34,11.77,72.65,7,14,6,5,15,0
4,5,0,0,3,3,1,18,51.57,7.92,3234.72,0.14,79,0.13,179.71,408.42,36,43,25,11,24,0
3,11,0,0,6,5,6,22,27.22,23.18,14625.44,0.21,117,0.04,812.52,630.9,51,66,22,20,25,0
143,67,7,49,34,25,1,589,569.78,49.3,1385089.67,9.36,3281,0.02,76949.43,28092.72,1522,1759,355,23,790,1
3,1,0,0,1,1,1,15,30.04,9.43,2670.88,0.09,61,0.11,148.38,283.28,24,37,14,11,20,0
10,29,0,21,15,12,5,59,43.37,27.87,33676.68,0.4,212,0.04,1870.93,1208.49,76,136,30,22,92,1
24,7,0,12,4,4,3,96,146.95,23.26,79495.75,1.14,505,0.04,4416.43,3417.93,207,298,89,20,135,0
4,11,0,3,6,5,4,27,44.34,12.04,6427.26,0.18,101,0.08,357.07,533.83,43,58,25,14,36,1
1,3,0,0,2,2,1,9,23.6,7.09,1186.82,0.06,37,0.14,65.93,167.37,13,24,11,12,12,0
3,9,0,20,5,5,1,17,20.88,12.83,3438.81,0.09,62,0.08,191.05,267.96,21,41,9,11,42,0
2,1,0,2,1,1,1,5,25.79,3.33,286.51,0.03,22,0.3,15.92,85.95,10,12,9,6,11,0
10,11,2,2,6,3,1,37,31.19,30.23,28502.18,0.31,176,0.03,1583.45,942.93,70,106,22,19,53,1
9,5,1,0,3,3,1,68,98.46,20.72,42268.8,0.68,340,0.05,2348.27,2040.0,148,192,50,14,80,1
1,3,0,0,2,2,1,7,11.31,7.2,586.15,0.03,22,0.14,32.56,81.41,9,13,5,8,10,0
1,5,0,0,3,3,1,15,22.79,9.0,1846.2,0.07,46,0.11,102.57,205.13,18,28,11,11,18,1
0,9,0,0,5,1,1,9,10.31,16.0,2638.53,0.05,46,0.06,146.59,164.91,16,30,4,8,11,1
3,5,0,0,3,3,1,12,30.96,6.07,1141.33,0.06,41,0.16,63.41,187.98,17,24,14,10,17,0
2,3,0,0,2,1,1,12,10.72,17.5,3283.82,0.06,45,0.06,182.43,187.65,10,35,4,14,16,0
6,1,0,7,1,1,1,17,31.13,9.17,2616.2,0.1,64,0.11,145.34,285.4,22,42,12,10,32,0
1,15,0,1,8,1,8,21,19.03,17.05,5528.36,0.11,69,0.06,307.13,324.33,25,44,11,15,26,0
3,3,0,0,2,2,1,10,27.17,5.73,891.1,0.05,36,0.17,49.51,155.59,14,22,11,9,15,0
3,7,0,3,4,4,1,18,22.33,14.42,4645.57,0.11,67,0.07,258.08,322.09,25,42,13,15,26,0
4,9,0,0,5,5,1,34,67.13,13.41,12075.16,0.3,163,0.07,670.84,900.34,76,87,34,12,40,0
3,7,0,0,4,2,3,8,15.56,11.2,1951.36,0.06,38,0.09,108.41,174.23,16,22,10,14,13,0
2,3,0,1,2,2,1,8,20.36,5.5,616.0,0.04,28,0.18,34.22,112.0,11,17,8,8,13,0
1,1,0,0,1,1,1,5,13.96,6.0,502.57,0.03,22,0.17,27.92,83.76,9,13,6,8,6,0
0,11,0,0,6,6,1,17,37.66,14.0,7381.79,0.18,115,0.07,410.1,527.27,56,59,16,8,19,0
10,7,1,1,4,4,1,30,48.65,9.78,4651.15,0.16,90,0.1,258.39,475.69,44,46,27,12,44,1
0,25,1,0,13,13,13,20,29.57,15.0,6654.36,0.15,101,0.07,369.69,443.62,33,68,11,10,23,0
8,5,1,5,2,1,1,32,39.81,18.24,13244.14,0.24,133,0.05,735.79,726.1,48,85,25,19,50,0
7,1,0,0,1,1,1,12,45.59,10.0,4559.43,0.15,97,0.1,253.3,455.94,45,52,18,8,22,0
10,11,2,2,6,5,4,46,48.73,23.63,27200.56,0.38,204,0.04,1511.14,1151.35,84,120,32,18,62,0
2,7,0,3,4,4,4,9,25.77,6.82,1197.9,0.06,40,0.15,66.55,175.69,15,25,11,10,16,0
2,4,0,0,3,2,1,29,27.24,15.0,6128.96,0.14,71,0.07,340.5,408.6,30,41,27,27,33,0
3,3,0,1,2,2,1,20,76.37,4.5,1546.4,0.11,74,0.22,85.91,343.65,36,38,20,5,26,0
4,55,0,2,28,16,15,119,60.66,61.55,229809.93,1.24,581,0.02,12767.22,3733.66,269,312,59,27,127,1
8,11,1,5,6,2,5,40,29.31,32.2,30392.25,0.31,169,0.03,1688.46,943.86,70,99,25,23,56,1
2,3,0,2,2,1,1,9,11.53,17.0,3331.77,0.07,47,0.06,185.1,195.99,17,30,6,12,15,0
1,3,0,0,2,2,1,10,14.41,4.8,332.11,0.02,20,0.21,18.45,69.19,8,12,5,6,13,0
12,14,0,0,9,4,1,74,35.4,29.5,30809.45,0.35,187,0.03,1711.64,1044.39,59,128,24,24,89,0
2,9,0,0,5,5,5,18,29.64,12.63,4729.74,0.12,73,0.08,262.76,374.44,30,43,19,16,24,0
6,19,0,8,10,6,6,22,42.91,27.23,31823.25,0.39,204,0.04,1767.96,1168.5,83,121,32,21,38,0
15,11,1,8,6,5,1,48,61.74,26.88,44622.57,0.55,281,0.04,2479.03,1659.84,136,145,43,17,74,1
6,19,4,7,10,5,7,56,29.97,43.24,56026.56,0.43,232,0.02,3112.59,1295.71,94,138,25,23,75,1
0,5,0,0,4,4,1,14,22.69,8.0,1452.17,0.06,42,0.13,80.68,181.52,16,26,10,10,16,0
10,19,0,8,10,4,8,73,57.31,33.14,62941.53,0.63,312,0.03,3496.75,1899.29,114,198,43,25,94,0
8,3,0,0,2,1,1,63,59.07,35.71,75345.25,0.7,402,0.03,4185.85,2109.67,200,202,28,10,73,0
9,3,0,4,2,2,1,22,33.96,11.42,4431.82,0.13,87,0.09,246.21,387.97,33,54,13,9,38,0
0,1,0,0,1,1,1,6,42.98,2.36,240.1,0.03,26,0.42,13.34,101.58,13,13,11,4,8,0
10,25,0,4,13,5,9,45,37.25,32.29,38840.84,0.4,210,0.03,2157.82,1202.86,91,119,31,22,61,0
8,25,11,12,14,12,4,56,26.02,53.31,73933.93,0.46,241,0.02,4107.43,1386.93,99,142,26,28,89,0
0,1,0,0,1,1,1,3,16.5,2.0,66.0,0.01,11,0.5,3.67,33.0,4,7,4,4,5,0
1,3,0,0,2,1,1,11,16.65,4.67,362.64,0.03,21,0.21,20.15,77.71,8,13,6,7,14,0
1,5,0,0,3,3,1,5,13.14,6.67,583.79,0.03,23,0.15,32.43,87.57,10,13,6,8,8,0
6,31,0,4,16,6,16,49,55.98,23.24,30219.93,0.43,226,0.04,1678.88,1300.6,79,147,34,20,62,0
1,7,0,0,4,3,4,15,15.72,14.0,3081.09,0.07,48,0.07,171.17,220.08,20,28,10,14,18,0
3,5,0,3,3,3,1,18,21.57,23.43,11841.03,0.17,103,0.04,657.83,505.41,41,62,14,16,26,0
1,3,0,0,2,2,1,12,17.86,15.0,4019.39,0.09,62,0.07,223.3,267.96,20,42,8,12,15,1
3,11,0,0,6,1,5,12,14.39,10.29,1522.29,0.05,37,0.1,84.57,148.0,16,21,7,9,17,0
1,1,0,0,1,1,1,4,25.14,6.8,1162.58,0.06,41,0.15,64.59,170.97,17,24,10,8,7,0
0,3,0,0,2,2,1,4,13.45,3.6,174.36,0.02,14,0.28,9.69,48.43,6,8,5,6,6,0
3,13,0,2,7,1,4,17,13.51,22.4,6778.41,0.1,66,0.04,376.58,302.61,32,34,10,14,26,0
1,3,0,0,2,1,1,13,13.99,8.64,1045.16,0.04,29,0.12,58.06,120.93,11,18,7,11,16,0
0,3,0,0,2,2,1,6,31.38,6.43,1296.89,0.07,44,0.16,72.05,201.74,18,26,14,10,8,0
1,3,0,0,2,2,1,16,20.45,10.0,2044.6,0.07,43,0.1,113.59,204.46,16,27,12,15,17,0
1,29,1,24,15,1,14,39,18.13,30.88,17284.57,0.19,113,0.03,960.25,559.82,39,74,12,19,67,0
4,5,0,0,3,3,1,17,51.28,9.0,4153.55,0.15,96,0.11,230.75,461.51,45,51,20,8,23,1
3,1,0,3,1,1,1,7,16.68,10.0,1667.97,0.06,40,0.1,92.67,166.8,16,24,8,10,15,0
4,13,0,2,7,4,1,35,46.04,17.33,13818.86,0.27,161,0.06,767.71,797.63,63,98,20,11,43,0
